Entiteit/Attribuut,Entiteitcode,Attribuutcode,Formaat,Datatype,Codelijst,Naam,Omschrijving;
A,RI,1,KHONVZ,AN1,JN,ADNLOG,Kentekenhouder onverzekerd gew. J/N,Is de kentekenhouder nadat de auto op zijn naam staat 10 dagen of meer onverzekerd geweest?;
A,RI,1,ENDSCH,RN8,D1,,Einddatum schorsing,Einddatum (tot en met-datum) schorsing.;
"A,RI,1,CNUMTI,AN..20,,,Polisnummer ter informatie,""Het contractnummer dat door deze maatschappij toegekend is, en van belang kan zijn voor de ingezonden mutatie / aanvraag.""";
"A,RI,1,REDINF,OAN..2,,ADNRCI,""Reden ter informatie, code"",Codelijst met reden waarom er een contractnummer ter informatie aan de maatschappij wordt verstuurd.";
A,RI,1,MERIDA,GAN..15,,,Merk (dagelijkse auto),Merk (dagelijkse auto).;
A,RI,1,TYPDAG,AN..25,,,Type (dagelijkse auto),Type (dagelijkse auto).;
A,RI,1,KENTDA,GAN..12,,,Kenteken (dagelijkse auto),Identificatie van het motorrijtuig.;
A,RI,1,VERZDA,GAN..35,,,Naam verzekeraar (dagelijkse auto),Naam verzekeraar (dagelijkse auto).;
A,RI,1,PNRDAG,AN..20,,,Polisnummer (dagelijkse auto),Polisnummer (dagelijkse auto).;
A,RI,1,MRVERZ,AN1,JN,ADNLOG,Motorrijtuig verzekerd J/N,Heeft de verzekeringnemer voor het betreffende motorrijtuig een lopende motorrijtuigen verzekering bij de maatschappij.;
A,RI,1,INBVER,ZAN1,JN,ADNLOG,Inboedelverz. bij deze maatsch. J/N,Indicatie of de verzekeringnemer een inboedelverzekering bij deze maatschappij heeft.;
A,RI,1,MVZAFD,AN1,JN,ADNLOG,Verzekering ter afdekking hyp/pl J/N,Wordt deze verzekering gesloten ter afdekking van een hypotheek of persoonlijke lening?;
A,RI,1,VZM,AN1,JN,ADNLOG,Lopende verzuimverzekering J/N,Indicatie of sprake is van een lopende verzuimverzekering. Kan bij betrokken of een andere maatschappij zijn.;
A,RI,1,CNUMVZ,MAN..20,,,Polisnummer verzuimverzekering,Polisnummer van de lopende verzuimverzekering.;
A,RI,1,WGAGAT,AN1,JN,ADNLOG,Lopende WGA-gatverzekering J/N,Indicatie of al een WGA-gatverzekering is afgesloten.;
A,RI,1,CNUMWG,GAN..20,,,Polisnummer WGA-gatverzekering,Polisnummer van de lopende WGA-gatverzekering.;
A,RI,1,WGAER,AN1,JN,ADNLOG,Lopende WGA-eigenrisicoverz. J/N,Lopende WGA-eigenrisicoverzekering?;
A,RI,1,CNUMWE,RAN..20,,,Polisnummer WGA-eigenrisicoverz.,Polisnummer van de lopende WGA-eigenrisicoverzekering.;
A,RI,1,VWGAER,VAN1,JN,ADNLOG,Vervangt elders lopende WGA-erv. J/N,Vervangt deze aangevraagde WGA-eigenrisicoverzekering een nu lopende WGA-eigenrisicoverzekering bij een andere maatschappij?;
A,RI,1,WGAVM,AN..35,,,Verzekeraar lopende WGA-gatverzek.,Naam van de verzekeraar waar de WGA-gatverzekering loopt.;
A,RI,1,WGAED,N8,D1,,Einddatum lopende WGA-gatverzekering,Einddatum lopende WGA-gatverzekering.;
A,RI,1,WIAAAN,VAN1,JN,ADNLOG,Lopende WIA-aanvullingsverz.. J/N,Lopende WIA-aanvullingsverzekering?;
A,RI,1,CNUMWA,VAN..20,,,Polisnummer WIA-aanvullingsverz.,Polisnummer van de lopende WIA-aanvullingsverzekering.;
A,RI,1,VRZWIA,AN1,JN,ADNLOG,Wettelijk verzekerd volgens WIA J/N,Wettelijk verzekerd volgens WIA.;
A,RI,1,ZWERV,AN1,JN,ADNLOG,Lopende ZW eigenrisicoverz. J/N,Lopende ziektewet eigenrisicoverzekering?;
A,RI,1,CNUMZW,AN..20,,,Polisnummer ZW eigenrisicoverz.,Polisnummer van de lopende ziektewet eigenrisicoverzekering.;
A,RI,1,VZBAAN,WAN1,JN,ADNLOG,Verzuimbeleid incl. flexw. aanw.J/N,Verzuimbeleid inclusief flexwerkers aanwezig?;
A,RI,1,CVAAAN,WAN1,JN,ADNLOG,Centrale verzuimadmin. aanwezig J/N,Centrale verzuimadministratie aanwezig?;
A,RI,1,COV,AN1,JN,ADNLOG,Lopende coll. ongevallenverz. J/N,Reeds lopende collectieve ongevallen verzekering?;
A,RI,1,COVMY,AN..35,,,Naam maatschappij l. coll. ong.verz.,Naam van de maatschappij reeds lopende collectieve ongevallen verzekering.;
A,RI,1,MEERPO,LAN1,JN,ADNLOG,Meerdere van dezelfde polissen J/N,Indicatie of binnen het gezinsverband meerdere van deze polissen zijn afgesloten.;
A,RI,1,GEZINN,RN..7,,,Gezinsnummer,Gezinsnummer.;
"A,RI,1,SRTGRP,VAN..2,,ADNSGV,""Soort groep verzekerd, code"",Indien 1 verzekerde dan altijd nader specificeren in verzekerde.";
"A,RI,1,SRTGRP,OAN..35,,,""Soort groep verzekerd, omschrijving"",Omschrijving/toelichting bij de soort groep die is verzekerd.";
"A,RI,1,AANVWR,KAN1,JN,ADNLOG,Aanvulling werkgeversverzekering J/N,""Dient de gezinsverzekering als aanvulling op een door de werkgever gesloten collectieve ongevallen verzekering? Indien ja, dan svp naam en plaats bij 'werkgever' vermelden.""";
"A,RI,1,OPSTAL,AN1,,ADNOPV,""Opstal verzekerd, code"",""Verzekerde status van de opstal, gecodeerd.""";
"A,RI,1,BOND,AN1,JN,ADNLOG,Overkoep. bond/federatie/orgaan J/N,""Aangesloten bij een bond, federatie, orgaan?""";
A,RI,1,BONDVE,RAN1,JN,ADNLOG,Verzek. bond/federatie/orgaan J/N,Bestaat er voor dit orgaan/bond/federatie een verzekering waarop het aangeboden risico is meeverzekerd?;
A,RI,1,AVBBAV,AN1,JN,ADNLOG,Beroeps-/bedrijfsaansp.vz. aanw. J/N,Indicatie of een beroeps- en/of bedrijfsaansprakelijkheid verzekering is afgesloten/aanwezig is.;
A,RI,1,BAVRZ,AN1,JN,ADNLOG,Bedrijfsaansprak. verz. aanwezig J/N,Is de bedrijfsaansprakelijkheid met een (andere) verzekering afgedekt?;
A,RI,1,BAVRZI,DN8,D1,,Ingangsdatum bedrijfsaansprak.verz.,Ingangsdatum bedrijfsaansprakelijkheidsverzekering.;
A,RI,1,BOVRZ,AN1,JN,ADNLOG,Beroepsaansprak. verz. aanwezig J/N,Is de beroepsaansprakelijkheid met een (andere) verzekering afgedekt?;
"A,RI,1,BOVRZT,AN..70,,,""Beroepsaansprak.verz.aanwezig, toel."",Toelichting op aanwezige beroepsaansprakelijkheid verzekering.";
A,RI,1,BGVRZJ,NAN1,JN,ADNLOG,Bedrijfsgebouwen verz. aanwezig J/N,Indicatie om aan te geven dat er een bedrijfsgebouwen verzekering aanwezig is of een aanvraag voor loopt.;
A,RI,1,BOVRZI,DN8,D1,,Ingangsdatum beroepsaansprak.verz.,Ingangsdatum beroepsaansprakelijkheidsverzekering.;
"A,RI,1,IGVRZJ,NAN1,JN,ADNLOG,Inventaris- goederenverz. aanw. J/N,""Indicatie om aan te geven dat er een inventaris en/of goederenverzekering aanwezig is, of aanvraag daarvoor loopt.""";
A,RI,1,CYVRZ,AN1,JN,ADNLOG,Cyberverzekering aanwezig J/N,Zijn cyberrisico's met een (andere) verzekering afgedekt?;
A,RI,1,CYVRZI,DN8,D1,,Ingangsdatum cyberverzekering,Ingangsdatum cyberverzekering.;
A,RI,1,CLVRZJ,NAN1,JN,ADNLOG,Objecten reeds collectief verz. J/N,Objecten reeds collectief verzekerd.;
A,RI,1,AKKROY,AN1,JN,ADNLOG,Akkoord royement lopende verz. J/N,Indicatie om aan te geven dat er een akkoord is op het royement van de lopende verzekering.;
A,RI,1,OPZEAK,AN1,JN,ADNLOG,Akk. opzeggen oude verzekering J/N,Indicatie om aan te geven dat de klant toestemming geeft aan de verzekeraar om de oude verzekering te beeindigen bij de oude maatschappij.;
A,RI,1,RELPOL,AN1,JN,ADNLOG,Gerelateerde polissen J/N,Indicatie of er één of meerdere gerelateerde polissen zijn afgesloten.;
A,RI,1,AVB,AN1,JN,ADNLOG,Aansprakelijkheidsverzekering J/N,Indicatie of een bedrijfsaansprakelijkheidsverzekering is aangevraagd of afgesloten.;
A,RI,1,FINKOR,TAN1,JN,ADNLOG,Korting agv lopende financiering J/N,Korting op de premie als gevolg van een lopend financieringscontract?;
A,RI,1,ONDBCN,TAN1,JN,ADNLOG,Onderdeel van bestaand contract J/N,Indicatie of de polis onderdeel is van een bestaande pakketverzekering.;
A,RI,1,OVERSL,TAN1,JN,ADNLOG,Betreft een oversluiting J/N,Indicatie of sprake is van oversluiting.;
A,RI,1,OVERSL,RAN..70,,,Reden oversluiting,Reden van oversluiting.;
A,RI,1,AEXPPO,LN..15,A0,,Aantal expirerende polissen elders,Aantal expirerende polissen bij andere maatschappijen.;
A,RI,1,PRMVLM,EN..15,B2,,Bedrag premievolume wagenpark,Bedrag premievolume wagenpark;
A,RI,1,GARVRZ,AN1,JN,ADNLOG,Garantieverzekering aanwezig J/N,Garantieverzekering aanwezig.;
"A,RI,1,ENDVRZ,CAN..5,,ADNBVZ,""Beëindiging lopende verzekering,code"",Beëindiging lopende verzekering.";
A,RI,1,OPSNML,AN1,JN,ADNLOG,Akkoord opslag namenlijst J/N,Indicatie dat relatie akkoord gaat met het opslaan van de namenlijst van een groep.;
A,RI,1,UBO25,AN1,JN,ADNLOG,UBO met belang van 25% of meer J/N,Indicatie om aan te geven of de organisatie een of meer uiteindelijk belanghebbenden met een belang van 25% of meer heeft.;
"A,RI,1,VGOBWA,NN..15,A0,,Vrz. gew./opg./bep. ivm wanbetaling,""Aantal maal verzekering geweigerd, opgezegd of beperkende voorwaarden gesteld i.v.m. wanbetaling.""";
"A,RI,1,VGOBSR,BN..15,A0,,Vrz. gew./opg./bep. ivm schadev. RB,""Aantal maal verzekering geweigerd, opgezegd of beperkende voorwaarden gesteld i.v.m. schadeverloop rechtsbijstand.""";
"A,RI,1,VGOBFR,VN..15,A0,,Vrz. gew./opg./bep. ivm fraud/vrzw.,""Aantal maal verzekering geweigerd, opgezegd of beperkende voorwaarden gesteld i.v.m. fraude/verzwijging.""";
A,RI,1,AVZBAZ,KAN1,JN,ADNLOG,Alle verz. Basis zorgverzekering J/N,Indicatie om aan te geven of alle verzekerden een Basis ziektekostenverzekering hebben.;
A,RI,1,MVZMIN,BAN1,JN,ADNLOG,Mvz. minderheidsdeelnemingen J/N,Heeft de rechtspersoon minderheidsdeelnemingen waarvoor men dekking wenst?;
A,RI,1,TRPVRZ,AN1,JN,ADNLOG,Transportverzekering aanwezig J/N,Indicatie of er een transportverzekering aanwezig is of er een aanvraag voor loopt.;
A,RI,1,MAMSVZ,AN1,JN,ADNLOG,Milieuaansprakel./-schadeverzek. J/N,Indicatie of een milieuaansprakelijkheid- of milieuschadeverzekering aanwezig is.;
A,RI,1,ELV,AN1,JN,ADNLOG,Elders lopende verzekering J/N,Heeft de kandidaat verzekerde nog elders een soortgelijke verzekering?;
"A,RI,1,ELVT,AN..70,,,Toel. elders lopende verzek.,""Toelichting elders lopende verzekering. Soort verzekering, bij welke maatschappij, verzekerde bedragen etc.""";
A,RI,1,ELVSP,AN1,JN,ADNLOG,Elders lopende verz. partner J/N,Heeft de partner van de kandidaat verzekerde nog elders een soortgelijke verzekering?;
"A,RI,1,ELVTSP,AN..70,,,Toel. elders lopende verzek. partnr,""Toelichting elders lopende verzekering partner. Soort verzekering, bij welke maatschappij, verzekerde bedragen etc.""";
A,RI,1,AVRVRD,AN1,JN,ADNLOG,Aanv.verzekerd/verzekerd geweest J/N,Is de aanvrager/het bedrijf of andere personen wiens belang wordt meeverzekerd op deze verzekering verzekerd geweest of thans verzekerd tegen het risico van aansprakelijkheid?;
"A,RI,1,DIRVRD,AN1,JN,ADNLOG,Stat.dir.verz./verzekerd geweest J/N,""Statutair directeur(en), bestuurder(s), aandeelhouder(s) verzekerd of verzekerd geweest?""";
"A,RI,1,EERDMO,VAN1,JN,ADNLOG,Eerder soortgelijke verzekering J/N,""Heeft de betrokkene eerder een soortgelijke verzekering gehad? Indien ja, dan svp toelichten.""";
A,RI,1,EERDRB,VAN1,JN,ADNLOG,Eerder rechtsbijstand verz. J/N,Bent u of een andere belanghebbende bij deze verzekering ooit eerder voor rechtsbijstand verzekerd geweest?;
A,RI,1,EERDMV,TAN..70,,,Toel. eerder soortgelijke verzek.,Toelichting op de vraag of eerder een soortgelijke verzekering is afgesloten.;
A,RI,1,INGDTE,VN8,D1,,Ingangsdatum eerdere verzekering,Ingangsdatum eerdere verzekering.;
A,RI,1,EVDATU,MN8,D1,,Datum beëindiging eerdere verz.,Vervaldatum (tot-datum) eerdere verzekering. Vervaldatum van de eerder genoten soortgelijke verzekering.;
"A,RI,1,EVREDE,NAN..2,,ADNROY,""Reden beëindiging eerd. verz., code"",Reden beëindiging eerdere verzekering.";
A,RI,1,EVRDEN,OAN..70,,,Reden beëindiging eerdere verz. oms.,Reden beëindiging eerdere verzekering omschrijving.;
"A,RI,1,MYAAND,EAN..4,,PORMAA,""Maatsch.-aand.eerd.verz., code"",Identificatie van de verzekeringsmaatschappij of gevolmachtigde waar de eerdere verzekering heeft gelopen.";
A,RI,1,MYNMEV,AN..35,,,Maatschappijnaam eerdere verzekering,Naam van de maatschappij waar de eerdere verzekering heeft gelopen.;
A,RI,1,CNTREV,AN..20,,,Contractnummer eerdere verzekering,Contractnummer eerdere verzekering.;
A,RI,1,BRERDV,AN1,JN,ADNLOG,Beroep gedaan op eerdere verz. J/N,Is de afgelopen jaren (5 jaren) een beroep gedaan op de eerdere verzekering?;
A,RI,1,BRERDV,TAN..70,,,Toel. beroep gedaan op eerdere verz.,Toelichting op afgelopen jaren (5 jaren) beroep gedaan op de eerdere verzekering.;
A,RI,1,ABVVVV,ZAN1,JN,ADNLOG,Andere ABP/VV verzeker. in gezin J/N,Zijn er voor dit gezin reeds ABP en/of VV verzekeringen?;
"A,RI,1,ABPPOL,AN..70,,,""Gezins- en polisnummers, omschr."",Opgave van gezins- en polisnummers van de reeds bestaande ABP en/of VV verzekeringen.";
A,RI,1,BDREAV,RN..15,B2,,Totaal verz. bedrag aanvraag elders,Totaal bedrag verzekerde som van elders aangevraagde en soortgelijke verzekeringen.;
A,RI,1,MYELAV,RAN..35,,,Maatschappijnaam aanvraag elders,De maatschappij(en) waarbij op dit moment een soortgelijke verzekering is aangevraagd.;
"A,RI,1,ESAANE,LAN1,JN,ADNLOG,Eerder soortgel. aanvraag elders J/N,""Heeft u ooit een soortgelijke verzekering aangevraagd? Indien ja, dan svp toelichten.""";
"A,RI,1,TOELEA,VAN..70,,,Toel.elders aangevraagde verzekering,""Het gaat hier om maatschappij, polisnummer en verzekerd bedrag.""";
"A,RI,1,AANVVR,ZAN1,JN,ADNLOG,Eerder aanverwante vrz. aangevr. J/N,""Indicatie om aan te geven dat eerder een aanverwante verzekering zoals bijvoorbeeld een levens-, een ongevallen-, ziektekosten- of arbeidsongeschiktheidsverzekering is aangevraagd.""";
"A,RI,1,ESAELS,PAN1,JN,ADNLOG,Eerd.soortgel.aanvr.eld.partner J/N,""Heeft de partner ooit een soortgelijke verzekering aangevraagd? Indien ja, dan svp toelichten.""";
"A,RI,1,TOEEAS,PAN..70,,,Toel. elders aangevr. verz. partner,""Het gaat hier om maatschappij, polisnummer en verzekerd bedrag.""";
A,RI,1,ZIEKOV,KAN1,JN,ADNLOG,Overeenk. Ziekenf./-kostenverz. J/N,Heeft u met een ziekenfonds of een ziektekostenverzekeraar een overeenkomst gesloten?;
A,RI,1,MVZZK,AN1,JN,ADNLOG,Verzekerd voor ziektekosten J/N,Indicatie of ziektekosten (mee)verzekerd zijn.;
"A,RI,1,ZIEKSR,TAN1,,ADNSZV,""Soort ziektekostenverzekering, code"",Soort ziektekostenverzekering.";
A,RI,1,KEURGN,3AN1,JN,ADNLOG,Keuringsgrens bereikt J/N,Aanduiding of keuringsgrens bereikt is.;
"A,RI,1,LFKBEL,VAN1,JN,ADNLOG,Lijfsier.kostbaarh.elders verz. J/N,""Zijn de lijfsieraden, kostbaarheden elders verzekerd?""";
A,RI,1,AFIZA,AN1,JN,ADNLOG,Afkomstig uit IZA/IZR/DGVP/IZZ J/N,Verzekerde afkomstig uit IZA/IZR/DGVP/IZZ?;
A,RI,1,AFPART,AN1,JN,ADNLOG,Afkomstig van part.maatschappij J/N,Indicatie of verzekerde particulier verzekerd was.;
A,RI,1,VZZWWA,OAN1,JN,ADNLOG,Verzekerd voor Ziektewet en WAO J/N,Bent u verplicht/vrijwillig verzekerd voor ziektewet en WAO?;
A,RI,1,VRPLVR,ZAN1,JN,ADNLOG,Verplicht verzekerd J/N,Indicatie om aan te geven dat men verplicht verzekerd is.;
A,RI,1,AFKZKF,AN1,JN,ADNLOG,Afkomstig uit het ziekenfonds J/N,Indicatie of verzekerde ziekenfondsverzekerd was.;
A,RI,1,EMTVRZ,AN1,JN,ADNLOG,1e motorr. zelfde mij verzekerd J/N,Is of wordt het eerste motorrijtuig bij dezelfde maatschappij verzekerd ?;
A,RI,1,MWNVMV,AN1,JN,ADNLOG,Medew. nevenvestigingen meeverz. J/N,Zijn/worden medewerkers van nevenvestigingen meeverzekerd?;
A,RI,1,IVBRBD,VAN1,JN,ADNLOG,Beroeps-/bedr.aanspr.verz. gehad J/N,Indicatie of in het verleden een beroeps- en/of bedrijfsaansprakelijkheid verzekering is afgesloten.;
A,RI,1,ELVEJ,N..15,B2,,Termijnbdr. br. pr. vrz. eld. jr1,Termijnbedrag bruto premie tijdens het eerste jaar van de verzekering elders.;
A,RI,1,ELVNEJ,N..15,B2,,Termijnbdr. br. pr. vrz. eld. na jr1,Termijnbedrag bruto premie na het eerste jaar van de verzekering elders.;
A,RI,1,OVLRIS,3AN1,JN,ADNLOG,Overlijdensrisico laatste 3 jaar J/N,Is de laatste 3 jaar een overlijdensrisico verzekering afgesloten?;
A,RI,1,BERIS3,AN1,JN,ADNLOG,Beeindig ovl. ris. laatste 3 jr J/N,Wordt de overlijdensrisico verzekering(en) die in de laatste drie jaar zijn afgesloten beeindigd?;
A,RI,1,RISBDR,3N..15,B2,,Bedrag overl.risico laatste 3 jaar,Totaalbedrag van de  overlijdensrisico verzekeringen die in de laatste drie jaar zijn afgesloten.;
A,RI,1,MYRIS3,AN..70,,,Mij(en) overl.risico laatste 3 jaar,Maatschappij(en) waar op het leven van de verzekerde in de afgelopen 3 jaar levensverzekeringen met overlijdensrisico zijn gesloten.;
A,RI,1,OVLRIS,EAN1,JN,ADNLOG,Elders overl.risico aangevraagd J/N,Is/wordt op het leven van de verzekerde elders ook een levensverzekering met overlijdensrisico aangevraagd?;
A,RI,1,BERISE,LAN1,JN,ADNLOG,Beeindig overl.risico elders J/N,Wordt de overlijdensrisico verzekering(en) welke elders zijn aangevraagd beeindigd?;
A,RI,1,RISBDR,EN..15,B2,,Bedrag overlijdensrisico elders,Bedrag van het overlijdensrisico dat op het leven van de verzekerde elders is/wordt aangevraagd.;
A,RI,1,MYRISE,LAN..70,,,Mij(en) elders overl.risico aangevr.,Andere maatschappij(en) waar op het leven van de verzekerde ook een levensverzekering met overlijdensrisico is/wordt aangevraagd.;
A,RI,1,OVRS32,VAN1,JN,ADNLOG,Overl.laatste 3j (2e verzekerde) J/N,Is de laatste 3 jaar een overlijdensrisico verzekering afgesloten op tweede verzekerde?;
A,RI,1,BES32V,AN1,JN,ADNLOG,Beeind.ovl.ris.lst 3jr (2e vrz.) J/N,Wordt de overlijdensrisico verzekering(en) die in de laatste drie jaar zijn afgesloten beeindigd op de tweede verzekerde?;
A,RI,1,RIBD32,VN..15,B2,,Bedr.ovl.ris.lst 3jr (2e verzekerde),Het totaalbedrag van afgesloten overlijdensrisicoverzekeringen in de laatste 3 jaar op tweede verzekerde.;
A,RI,1,MYRS32,VAN..70,,,Mij.ovl.ris.lst 3jr (2e verzekerde),Maatschappij(en) waar op het leven van de tweede verzekerde in de afgelopen 3 jaar levensverzekeringen met overlijdensrisico zijn gesloten.;
A,RI,1,OVRSE2,VAN1,JN,ADNLOG,Eld.ovl.ris.aangevr.(2e verz.de) J/N,Is/wordt op het leven van de tweede verzekerde elders ook een levensverzekering met overlijdensrisico aangevraagd?;
A,RI,1,BESE2V,AN1,JN,ADNLOG,Beeind. ovl.ris.elders (2e vrz.) J/N,Wordt de overlijdensrisico verzekering(en)  welke elders zijn aangevraagd beeindigd op tweede verzekerde?;
A,RI,1,RSBDE2,VN..15,B2,,Bedr.ovl.ris.elders (2e verzekerde),Bedrag van het overlijdensrisico dat op het leven van de tweede verzekerde elders is/wordt aangevraagd.;
A,RI,1,MYRSE2,VAN..70,,,Mij.eld.ovl.ris.aangevr.(2e verz.de),Andere maatschappij(en) waar op het leven van de tweede verzekerde ook een levensverzekering met overlijdensrisico is/wordt aangevraagd.;
A,RI,1,VZAFGW,AN1,JN,ADNLOG,Verzekerde ooit afgewezen J/N,Indicatie of verzekerde ooit is afgewezen.;
"A,RI,1,VZAFGW,OAN..35,,,""Verzekerde ooit afgewezen, omschr."",Omschrijving/toelichting waarom verzekerde ooit is afgewezen.";
A,RI,1,VZAFGM,YAN..35,,,Maatschappij verz. ooit afgewezen,Naam van de verzekeringsmaatschappij die de verzekerde ooit heeft afgewezen.;
"A,RI,1,VZAFGV,ZAN..35,,,""Soort verz. ooit afgewezen, omschr."",Omschrijving  van de afgewezen verzekering.";
"A,RI,1,VZAFGR,EAN..35,,,""Reden verz. ooit afgewezen, omschr."",Omschrijving reden afwijzing verzekering.";
"A,RI,1,STATGV,AN1,,ADNSGZ,""Status gezondsheidsverklaring, code"",Status gezondheidsverklaring verzekerde.";
A,RI,1,DIGIGV,AN1,JN,ADNLOG,Digitale gezondheidsverklaring J/N,Indicatie om aan te geven dat de klant gebruik wil maken van een digitale gezondheidsverklaring.;
A,RI,1,KEURRE,GAN1,JN,ADNLOG,Keuring geregeld J/N,Geeft aan of de keuring geregeld is indien deze noodzakelijk is.;
A,RI,1,KEUDAT,N8,D1,,Keuringsdatum,Datum waarop de keuring zal plaatsvinden.;
A,RI,1,KEUTYD,N4,T1,,Keurings tijdstip,Tijdstip van de keuring op keuringsdatum.;
"A,RI,1,KEUPLT,AN..70,,,""Plaats van keuring, omschr."",Plaats van keuring. Omschrijving.";
A,RI,1,KEUDAT,EN8,D1,,Keuringsdatum eld. aangevr. verz.,Keuringsdatum elders aangevraagde verzekering.;
A,RI,1,KDATES,PN8,D1,,Keuringsdat.eld.aangevr.verz.partnr,Keuringsdatum elders aangevraagde verzekering.;
A,RI,1,KDATEL,VN8,D1,,Keuringsdatum elders lopende verz.,Keuringsdatum elders lopende verzekering.;
"A,RI,1,MDACCT,AN1,,ADNRES,""Medisch geaccepteerd, code"",Geeft aan of de tussenpersoon de aanvraag op medische basis heeft kunnen accepteren.";
A,RI,1,LAZVG,AN1,JN,ADNLOG,Lijdt aan ziekte (verzorger) J/N,Indicatie of verzorger lijdt aan ziekte.;
A,RI,1,LAZVG2,AN1,JN,ADNLOG,Lijdt aan ziekte (medeverzorger) J/N,Indicatie of medeverzorger lijdt aan ziekte.;
A,RI,1,ZELFST,RAN1,JN,ADNLOG,Gezondheidsverklar. zelf sturen J/N,Indicatie of de gezondheidsverklaring door de verzekerde zelf ingestuurd wordt.;
A,RI,1,GEZVER,KAN1,JN,ADNLOG,Gezondheidsverklaring verstuurd J/N,Indicatie of de gezondheidsverklaring is verstuurd.;
A,RI,1,GEZVRK,LAN1,JN,ADNLOG,Gezondheidsverklaring invullen J/N,Wilt u de gezondheidsverklaring invullen?;
A,RI,1,GEZVRV,MAN1,JN,ADNLOG,Gez.verkl. met verzekeraar inv. J/N,Gezondheidsverklaring samen met verzekeraar invullen. Keuze tussen samen invullen (J) of zelf invullen (N).;
A,RI,1,DIEETH,DAN1,JN,ADNLOG,Dieet voorgeschreven huisdier J/N,Heeft uw huisdier ooit ter preventie of vanwege een aandoening een dieet voorgeschreven gekregen?;
A,RI,1,GEZVRM,AN1,JN,ADNLOG,Alle vrz.den goed gezichtsverm. J/N,Indicatie of alle verzekerden beschikken over een goed gezichtsvermogen.;
